You entered a buffer length of 20
gx: 0.000000, gy: -0.000489, gz: -0.005374, avg x: -0.000807, avg y: -0.001221, avg z: -0.006424, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.001954, gy: -0.001466, gz: -0.006839, avg x: -0.000440, avg y: -0.001221, avg z: -0.006449, x_min: -0.006351, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.004885, gy: -0.000977, gz: -0.006839, avg x: -0.000367, avg y: -0.001173, avg z: -0.006473, x_min: -0.005862, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: 0.000000, gy: -0.001954, gz: -0.006351, avg x: -0.000367, avg y: -0.001197, avg z: -0.006497, x_min: -0.005862, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.003420, gy: -0.000489, gz: -0.007328, avg x: -0.000489, avg y: -0.001197, avg z: -0.006546, x_min: -0.005862, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.007328, gy: -0.001466, gz: -0.006351, avg x: -0.000782, avg y: -0.001246, avg z: -0.006571, x_min: -0.007328, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.008305, gy: -0.002443, gz: -0.006351, avg x: -0.001173, avg y: -0.001368, avg z: -0.006522, x_min: -0.008305, x_max: 0.004395, y_min: -0.003420, y_max: -0.000489, z_min: -0.007816, z_max: -0.005374
gx: -0.004397, gy: -0.000489, gz: -0.005374, avg x: -0.001319, avg y: -0.001344, avg z: -0.006473, x_min: -0.008305, x_max: 0.004395, y_min: -0.003420, y_max: -0.000489, z_min: -0.007816, z_max: -0.005374
gx: 0.000000, gy: -0.000489, gz: -0.005862, avg x: -0.001368, avg y: -0.001295, avg z: -0.006449, x_min: -0.008305, x_max: 0.004395, y_min: -0.003420, y_max: -0.000489, z_min: -0.007816, z_max: -0.005374
gx: 0.000488, gy: -0.000977, gz: -0.006351, avg x: -0.001442, avg y: -0.001295, avg z: -0.006449, x_min: -0.008305, x_max: 0.004395, y_min: -0.003420, y_max: -0.000489, z_min: -0.007816, z_max: -0.005374
